steam_id,alias
STEAM_0:0:17849274,frknnN
STEAM_0:0:20466718,racecar
STEAM_0:0:16092325,A Whale
STEAM_0:0:7339135,Lange
STEAM_0:1:9117438,St.Patrick
STEAM_0:1:7585316,Zbryan
STEAM_0:0:729983,A Seagull
STEAM_0:1:14303991,merlini'd
STEAM_0:1:4274771,A Bud
STEAM_0:1:22492378,bench
STEAM_0:1:16524324,smaka
STEAM_0:0:15296947,justin
STEAM_0:1:433396,cri.nge
STEAM_0:0:16092325,A Whale
STEAM_0:0:7339135,Lange
STEAM_0:1:14303991,merlini'd
STEAM_0:0:15296947,justin
STEAM_0:1:4274771,A Bud
STEAM_0:1:9117438,St.Patrick
STEAM_0:0:20466718,racecar
STEAM_0:1:22492378,bench
STEAM_0:0:729983,A Seagull
STEAM_0:1:433396,cri.nge
STEAM_0:1:7585316,Zbryan
STEAM_0:1:9401105,ranga
STEAM_0:1:27378618,AT| spooge
STEAM_0:1:23174955,IDM.Kokojambo
STEAM_0:0:22231508,IDM.Ash
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:0:15074431,AT| Califax
STEAM_0:1:496215,AT| GiBiX :3
STEAM_0:0:5247518,IDM.Trane
STEAM_0:1:7715923,cc//Ele Abides
STEAM_0:0:7759167,AT| iAwp
STEAM_0:1:21010137,rock >:]
STEAM_0:0:13883537,Hank
STEAM_0:0:12354803,IDM.Link
STEAM_0:1:36668954,Dendocror
STEAM_0:0:13883537,Hank
STEAM_0:1:23174955,IDM.Kokojambo
STEAM_0:0:22231508,IDM.Ash
STEAM_0:1:21010137,rock >:]
STEAM_0:1:11684911,r?an
STEAM_0:0:34393517,Nhato
STEAM_0:0:26995265,Sideshow
STEAM_0:0:5247518,IDM.Trane
STEAM_0:0:12354803,IDM.Link
STEAM_0:0:19426804,Meat Hook Sodomy
STEAM_0:1:19814160,fawwles
STEAM_0:0:5247518,IDM.Trane
STEAM_0:1:11684911,r?an
STEAM_0:1:36668954,Dendocror
STEAM_0:1:19814160,fawwles
STEAM_0:1:23174955,IDM.Kokojambo
STEAM_0:0:26995265,Sideshow
STEAM_0:0:22231508,IDM.Ash
STEAM_0:0:12354803,IDM.Link
STEAM_0:0:34393517,Nhato
STEAM_0:1:21010137,rock >:]
STEAM_0:0:19426804,Meat Hook Sodomy
STEAM_0:0:13883537,Hank
STEAM_0:1:4541761,kukkye
STEAM_0:1:8589161,BeaVerN
STEAM_0:0:2829363,stefaaan /inactive
STEAM_0:1:18696761,Darn!
STEAM_0:1:16347045,Epsilon numlocked
STEAM_0:1:1524315,kaidus
STEAM_0:1:12124893,Epsilon KnOxXx
STEAM_0:1:15127337,Got a copy of ns2 who wants it?
