steam_id1,steam_id2,count
STEAM_0:1:17494569,STEAM_0:1:16170708,3
STEAM_0:1:17494569,STEAM_0:0:28992375,3
STEAM_0:1:17494569,STEAM_0:1:18801756,4
STEAM_0:1:17494569,STEAM_0:1:741224,5
STEAM_0:1:17494569,STEAM_0:0:16327666,4
STEAM_0:0:513478,STEAM_0:1:39028131,3
STEAM_0:0:513478,STEAM_0:1:16170708,3
STEAM_0:0:513478,STEAM_0:0:28992375,3
STEAM_0:0:513478,STEAM_0:1:18801756,3
STEAM_0:0:513478,STEAM_0:1:741224,3
STEAM_0:0:513478,STEAM_0:0:16327666,3
STEAM_0:0:513478,STEAM_0:0:26605378,3
STEAM_0:1:39028131,STEAM_0:1:16170708,3
STEAM_0:1:39028131,STEAM_0:0:28992375,3
STEAM_0:1:39028131,STEAM_0:1:18801756,4
STEAM_0:1:39028131,STEAM_0:1:741224,3
STEAM_0:1:39028131,STEAM_0:0:16327666,4
STEAM_0:1:39028131,STEAM_0:0:26605378,3
STEAM_0:1:16170708,STEAM_0:0:28992375,3
STEAM_0:1:16170708,STEAM_0:1:18801756,4
STEAM_0:1:16170708,STEAM_0:1:741224,4
STEAM_0:1:16170708,STEAM_0:0:16327666,4
STEAM_0:1:16170708,STEAM_0:0:26605378,4
STEAM_0:0:28992375,STEAM_0:1:18801756,3
STEAM_0:0:28992375,STEAM_0:1:741224,3
STEAM_0:0:28992375,STEAM_0:0:16327666,3
STEAM_0:0:28992375,STEAM_0:0:26605378,3
STEAM_0:1:18801756,STEAM_0:1:741224,3
STEAM_0:1:18801756,STEAM_0:0:16327666,4
STEAM_0:1:18801756,STEAM_0:0:26605378,3
STEAM_0:1:741224,STEAM_0:0:16327666,4
STEAM_0:0:16327666,STEAM_0:0:26605378,3
STEAM_0:1:16170708,STEAM_0:0:13708020,1
STEAM_0:1:16170708,STEAM_0:1:17494569,1
STEAM_0:1:16170708,STEAM_0:1:40009526,1
STEAM_0:1:16170708,STEAM_0:1:39028131,1
STEAM_0:1:16170708,STEAM_0:0:24507746,1
STEAM_0:1:16170708,STEAM_0:0:513478,1
STEAM_0:1:16170708,STEAM_0:0:20071403,1
STEAM_0:1:741224,STEAM_0:1:39028131,1
STEAM_0:1:741224,STEAM_0:1:18801756,1
STEAM_0:1:741224,STEAM_0:0:513478,1
STEAM_0:1:741224,STEAM_0:0:20071403,1
STEAM_0:0:13708020,STEAM_0:0:20071403,1
STEAM_0:1:17494569,STEAM_0:0:20071403,1
STEAM_0:0:26605378,STEAM_0:1:39028131,1
